Outlet_Establishment_Year,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Total_Revenue,Price_Range,Total_Sales_Year,Average_Sales_Year
1997,FDL22,16.9,Low Fat,0.04,Snack Foods,91.45,OUT046,Small,Tier 1,Supermarket Type1,2082.62,190455.6,Medium,2118395.35,2277.84
1987,FDS19,13.8,Regular,0.06,Fruits and Veg,76.9,OUT013,High,Tier 3,Supermarket Type1,607.21,46694.45,Medium,2142663.66,2299.0
1998,DRI39,13.8,Low Fat,0.16,Dairy,55.89,OUT010,Medium,Tier 3,Grocery Store,226.37,12651.82,Low,188340.22,339.35
1997,FDB38,19.5,Regular,0.03,Canned,158.99,OUT046,Small,Tier 1,Supermarket Type1,1757.71,279458.31,High,2118395.35,2277.84
1985,FDW01,14.5,Low Fat,0.06,Canned,153.47,OUT027,Medium,Tier 3,Supermarket Type3,2287.02,350988.96,High,3633620.22,2483.68
1985,NCK17,11.0,Low Fat,0.04,Health and Hygiene,41.55,OUT027,Medium,Tier 3,Supermarket Type3,1358.23,56434.46,Low,3633620.22,2483.68
2004,FDN34,15.6,Regular,0.05,Snack Foods,167.11,OUT035,Small,Tier 2,Supermarket Type1,2874.92,480427.88,High,2268123.09,2438.84
1997,DRK13,11.8,Low Fat,0.12,Soft Drinks,199.81,OUT046,Small,Tier 1,Supermarket Type1,2380.9,475727.63,High,2118395.35,2277.84
1985,FDE32,20.7,Low Fat,0.05,Fruits and Veg,39.65,OUT027,Medium,Tier 3,Supermarket Type3,1024.67,40628.17,Low,3633620.22,2483.68
2007,FDO04,16.6,Low Fat,0.0,Frozen Foods,54.66,OUT017,Medium,Tier 2,Supermarket Type1,884.18,48329.28,Low,2167465.52,2340.68
1985,FDI16,14.0,Regular,0.14,Frozen Foods,52.56,OUT027,Medium,Tier 3,Supermarket Type3,2290.35,120380.8,Low,3633620.22,2483.68
1987,FDW60,5.4,Regular,0.02,Baking Goods,174.64,OUT013,High,Tier 3,Supermarket Type1,2999.43,523820.46,High,2142663.66,2299.0
2009,DRG11,6.4,Low Fat,0.08,Hard Drinks,109.06,OUT018,Medium,Tier 3,Supermarket Type2,1941.47,211736.72,Medium,1851822.95,1995.5
2002,FDW19,12.4,Regular,0.04,Fruits and Veg,109.56,OUT045,Medium,Tier 2,Supermarket Type1,1757.71,192574.71,Medium,2036725.6,2192.38
2002,NCC18,19.1,Low Fat,0.18,Household,173.94,OUT045,Medium,Tier 2,Supermarket Type1,2414.19,419924.21,High,2036725.6,2192.38
2004,FDQ11,5.7,Regular,0.07,Breads,258.9,OUT035,Small,Tier 2,Supermarket Type1,5396.97,1397275.53,High,2268123.09,2438.84
2007,FDT39,6.3,Regular,0.01,Meat,152.84,OUT017,Medium,Tier 2,Supermarket Type1,3778.42,577493.71,High,2167465.52,2340.68
1985,DRG27,8.9,Low Fat,0.18,Dairy,42.21,OUT019,Small,Tier 1,Grocery Store,40.61,1714.15,Low,3633620.22,2483.68
1985,FDN08,7.7,Regular,0.09,Fruits and Veg,115.95,OUT027,Medium,Tier 3,Supermarket Type3,4124.63,478250.85,Medium,3633620.22,2483.68
1998,FDO37,8.1,Low Fat,0.04,Breakfast,230.23,OUT010,Medium,Tier 3,Grocery Store,693.1,159572.41,High,188340.22,339.35
2002,FDZ48,17.8,Low Fat,0.08,Baking Goods,111.45,OUT045,Medium,Tier 2,Supermarket Type1,1006.69,112195.6,Medium,2036725.6,2192.38
1987,NCR17,9.8,Low Fat,0.02,Health and Hygiene,114.05,OUT013,High,Tier 3,Supermarket Type1,2085.29,237827.32,Medium,2142663.66,2299.0
2007,NCQ30,7.7,Low Fat,0.03,Household,123.84,OUT017,Medium,Tier 2,Supermarket Type1,1340.26,165977.8,Medium,2167465.52,2340.68
2004,FDN49,17.3,Regular,0.13,Breakfast,41.65,OUT035,Small,Tier 2,Supermarket Type1,679.12,28285.35,Low,2268123.09,2438.84
1985,NCG43,20.2,Low Fat,0.13,Household,93.05,OUT019,Small,Tier 1,Grocery Store,185.09,17222.62,Medium,3633620.22,2483.68
1999,FDR04,7.1,Low Fat,0.02,Frozen Foods,98.11,OUT049,Medium,Tier 1,Supermarket Type1,1458.1,143054.19,Medium,2183969.98,2348.35
2004,FDR37,16.5,Regular,0.07,Breakfast,183.13,OUT035,Small,Tier 2,Supermarket Type1,6385.02,1169288.71,High,2268123.09,2438.84
2007,FDP56,8.2,Low Fat,0.05,Fruits and Veg,49.97,OUT017,Medium,Tier 2,Supermarket Type1,837.58,41853.87,Low,2167465.52,2340.68
1987,FDR27,15.1,Regular,0.1,Meat,133.79,OUT013,High,Tier 3,Supermarket Type1,2384.9,319075.77,Medium,2142663.66,2299.0
1985,DRF01,5.7,Low Fat,0.31,Soft Drinks,147.31,OUT019,Small,Tier 1,Grocery Store,291.62,42958.54,Medium,3633620.22,2483.68
1999,DRD01,12.1,Regular,0.06,Soft Drinks,53.26,OUT049,Medium,Tier 1,Supermarket Type1,386.83,20602.57,Low,2183969.98,2348.35
2002,DRD01,12.1,Regular,0.06,Soft Drinks,56.26,OUT045,Medium,Tier 2,Supermarket Type1,552.61,31089.84,Low,2036725.6,2192.38
1985,FDH28,15.9,Regular,0.0,Frozen Foods,37.05,OUT027,Medium,Tier 3,Supermarket Type3,986.72,36557.98,Low,3633620.22,2483.68
2004,FDK25,11.6,Regular,0.16,Breakfast,168.05,OUT035,Small,Tier 2,Supermarket Type1,4379.63,735996.82,High,2268123.09,2438.84
1985,FDG02,7.9,Low Fat,0.02,Canned,191.92,OUT019,Small,Tier 1,Grocery Store,571.26,109636.22,High,3633620.22,2483.68
2002,FDT56,16.0,Regular,0.12,Fruits and Veg,56.02,OUT045,Medium,Tier 2,Supermarket Type1,695.1,38939.5,Low,2036725.6,2192.38
1985,NCO17,10.0,Low Fat,0.13,Health and Hygiene,117.94,OUT019,Small,Tier 1,Grocery Store,239.69,28269.04,Medium,3633620.22,2483.68
1998,FDC02,21.4,Low Fat,0.12,Canned,258.33,OUT010,Medium,Tier 3,Grocery Store,520.66,134502.1,High,188340.22,339.35
2004,FDA40,16.0,Regular,0.1,Frozen Foods,87.49,OUT035,Small,Tier 2,Supermarket Type1,1054.63,92269.58,Medium,2268123.09,2438.84
2004,FDE32,20.7,Low Fat,0.05,Fruits and Veg,37.55,OUT035,Small,Tier 2,Supermarket Type1,113.85,4275.07,Low,2268123.09,2438.84
1999,FDO15,16.8,Regular,0.01,Meat,72.3,OUT049,Medium,Tier 1,Supermarket Type1,960.75,69462.22,Medium,2183969.98,2348.35
1999,FDW49,19.5,Low Fat,0.0,Canned,179.3,OUT049,Medium,Tier 1,Supermarket Type1,2328.3,417464.19,High,2183969.98,2348.35
2002,FDA09,13.4,Regular,0.15,Snack Foods,180.27,OUT045,Medium,Tier 2,Supermarket Type1,898.83,162032.08,High,2036725.6,2192.38
1985,FDM36,11.7,Regular,0.06,Baking Goods,172.14,OUT027,Medium,Tier 3,Supermarket Type3,5518.15,949894.34,High,3633620.22,2483.68
1985,FDL02,20.0,Regular,0.18,Canned,107.16,OUT019,Small,Tier 1,Grocery Store,211.72,22687.92,Medium,3633620.22,2483.68
2002,FDT10,16.7,Regular,0.06,Snack Foods,60.96,OUT045,Medium,Tier 2,Supermarket Type1,829.59,50571.81,Low,2036725.6,2192.38
1999,NCI31,20.0,Low Fat,0.08,Others,36.82,OUT049,Medium,Tier 1,Supermarket Type1,769.0,28314.58,Low,2183969.98,2348.35
1997,FDO10,13.7,Regular,0.01,Snack Foods,55.56,OUT046,Small,Tier 1,Supermarket Type1,1603.25,89076.57,Low,2118395.35,2277.84
2007,FDM15,11.8,Regular,0.06,Meat,152.44,OUT017,Medium,Tier 2,Supermarket Type1,3929.55,599020.6,High,2167465.52,2340.68
2002,FDL33,7.2,Low Fat,0.1,Snack Foods,193.95,OUT045,Medium,Tier 2,Supermarket Type1,2936.18,569472.11,High,2036725.6,2192.38
2004,FDH41,9.0,Low Fat,0.08,Frozen Foods,216.25,OUT035,Small,Tier 2,Supermarket Type1,4301.07,930106.39,High,2268123.09,2438.84
2004,NCE30,16.0,Low Fat,0.1,Household,210.79,OUT035,Small,Tier 2,Supermarket Type1,4460.19,940163.45,High,2268123.09,2438.84
1985,DRL01,19.5,Regular,0.14,Soft Drinks,233.0,OUT019,Small,Tier 1,Grocery Store,934.78,217803.74,High,3633620.22,2483.68
2007,FDF45,18.2,Regular,0.01,Fruits and Veg,60.09,OUT017,Medium,Tier 2,Supermarket Type1,1113.22,66893.39,Low,2167465.52,2340.68
1985,FDU57,8.3,Regular,0.09,Snack Foods,149.87,OUT027,Medium,Tier 3,Supermarket Type3,3611.3,541225.53,Medium,3633620.22,2483.68
1985,FDX47,6.6,Regular,0.06,Breads,156.83,OUT019,Small,Tier 1,Grocery Store,471.39,73928.09,High,3633620.22,2483.68
2004,FDR08,18.7,Low Fat,0.04,Fruits and Veg,109.19,OUT035,Small,Tier 2,Supermarket Type1,1890.21,206392.03,Medium,2268123.09,2438.84
1999,FDQ58,7.3,Low Fat,0.02,Snack Foods,153.43,OUT049,Medium,Tier 1,Supermarket Type1,459.4,70485.74,High,2183969.98,2348.35
1999,FDC22,6.9,Regular,0.0,Snack Foods,193.48,OUT049,Medium,Tier 1,Supermarket Type1,2510.07,485648.34,High,2183969.98,2348.35
1987,DRH49,19.7,Low Fat,0.02,Soft Drinks,84.16,OUT013,High,Tier 3,Supermarket Type1,1073.27,90326.4,Medium,2142663.66,2299.0
2007,NCN53,5.2,Low Fat,0.03,Health and Hygiene,33.59,OUT017,Medium,Tier 2,Supermarket Type1,635.17,21335.36,Low,2167465.52,2340.68
2009,FDY45,17.5,Low Fat,0.03,Snack Foods,255.14,OUT018,Medium,Tier 3,Supermarket Type2,3815.03,973366.75,High,1851822.95,1995.5
1997,FDX15,17.2,Low Fat,0.16,Meat,162.16,OUT046,Small,Tier 1,Supermarket Type1,1283.66,208158.31,High,2118395.35,2277.84
1985,FDY21,15.1,Low Fat,0.17,Snack Foods,195.11,OUT027,Medium,Tier 3,Supermarket Type3,5303.1,1034687.84,High,3633620.22,2483.68
